17 ago 2015 10:22:17,732 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:17,826 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,216 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,216 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,216 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,216 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,294 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,294 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,294 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,294 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,372 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,372 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,372 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,372 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,575 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,575 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,575 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,590 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,700 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,700 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,700 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,715 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,809 [AWT-EventQueue-0] INFO  LogAcide - Creating text editor...
17 ago 2015 10:22:18,809 [AWT-EventQueue-0] INFO  LogAcide - Creating the syntax...
17 ago 2015 10:22:18,809 [AWT-EventQueue-0] INFO  LogAcide - Created syntax
17 ago 2015 10:22:18,824 [AWT-EventQueue-0] INFO  LogAcide - Created text editor
17 ago 2015 10:22:18,824 [AWT-EventQueue-0] INFO  LogAcide - Loading ACIDE - A Configurable IDE - Main Window Configuration
17 ago 2015 10:22:52,351 [AWT-EventQueue-0] INFO  LogAcide - Unable to kill des.exe. Exit code: 128n
17 ago 2015 10:23:25,259 [AWT-EventQueue-0] INFO  LogAcide - Unable to kill des.exe. Exit code: 128n
